"id","l10n_ke_tax_type_id"
"ST16","ke_etims_integration.code_04_B"
"ST8","ke_etims_integration.code_04_E"
"ST0","ke_etims_integration.code_04_C"
"STEX","ke_etims_integration.code_04_A"
"PT16","ke_etims_integration.code_04_B"
"PT8","ke_etims_integration.code_04_E"
"PT0","ke_etims_integration.code_04_C"
"PTEX","ke_etims_integration.code_04_A"
"PWT3","ke_etims_integration.code_04_D"
"PWT5","ke_etims_integration.code_04_D"
"ST0EXPORT","ke_etims_integration.code_04_A"
