date,truck,grade,qty,supplier,customer,buy_unit,sell_unit,margin_unit,margin_total,buy_total,sell_total
2026-08-05,KCC 166U,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,LANDMARK,200.0,202.5,2.5,25000.0,2000000.0,2025000.0
2026-08-05,KCG 292V,AGO,10000.0,KENGAS KENYA LIMITED,BOLD,203.0,203.3,0.3,3000.0,2030000.0,2033000.0
2026-08-05,KCL 098L,AGO,3000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,666.6667,667.6667,1.0,3000.0,2000000.0,2003000.0
2026-08-05,KCL 098L,PMS,7000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,285.7143,286.1429,0.4286,3000.0,2000000.0,2003000.0
2026-08-05,KDB 911B,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,204.5,205.3,0.8,8000.0,2045000.0,2053000.0
2026-08-05,KDC 920Y,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,200.3,2.3,23000.0,1980000.0,2003000.0
2026-08-05,KDT 943V,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,200.3,2.3,23000.0,1980000.0,2003000.0
2026-08-05,KDU 024V,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,MALUINI,198.0,201.0,3.0,30000.0,1980000.0,2010000.0
2026-08-06,KAV 369B,PMS,6000.0,VITALAC INTERNATIONAL  LIMITED,HOKOLA,333.3333,204.0,-129.3333,-776000.0,2000000.0,1224000.0
2026-08-06,KBB 038G,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,PETROL KIM,199.5,201.3,1.8,18000.0,1995000.0,2013000.0
2026-08-06,KBE 245Y,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,200.0,200.3,0.3,3000.0,2000000.0,2003000.0
2026-08-06,KBS 311L,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,PETROL KIM,200.0,202.3,2.3,23000.0,2000000.0,2023000.0
2026-08-06,KCA 072Q,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,DIMKA,200.0,199.0,-1.0,-10000.0,2000000.0,1990000.0
2026-08-06,KDG 103L,PMS,3000.0,VITALAC INTERNATIONAL  LIMITED,SHAMEEL,200.0,204.5,4.5,13500.0,600000.0,613500.0
2026-08-06,KDG 103L,PMS,4000.0,VITALAC INTERNATIONAL  LIMITED,SAKATII,200.0,204.5,4.5,18000.0,800000.0,818000.0
2026-08-07,KAU 439D,AGO,7000.0,VITALAC INTERNATIONAL  LIMITED,QUBAA,286.5,287.4286,0.9286,6500.0,2005500.0,2012000.0
2026-08-07,KAU 439D,PMS,3000.0,VITALAC INTERNATIONAL  LIMITED,QUBAA,668.5,670.6667,2.1667,6500.0,2005500.0,2012000.0
2026-08-07,KBF 520W,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,SAYUSA,199.5,202.0,2.5,25000.0,1995000.0,2020000.0
2026-08-07,KBF 696N,AGO,3000.0,VITALAC INTERNATIONAL  LIMITED,RAMCO,673.1667,677.5,4.3333,13000.0,2019500.0,2032500.0
2026-08-07,KBF 696N,PMS,7000.0,VITALAC INTERNATIONAL  LIMITED,RAMCO,288.5,290.3571,1.8571,13000.0,2019500.0,2032500.0
2026-08-07,KBL 473S,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,203.0,203.3,0.3,3000.0,2030000.0,2033000.0
2026-08-07,KBY 554Z,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,203.0,203.3,0.3,3000.0,2030000.0,2033000.0
2026-08-07,KBZ 984F,AGO,1000.0,PIN OIL,BOLD,2791.5,2803.2,11.7,11700.0,2791500.0,2803200.0
2026-08-07,KBZ 984F,PMS,13000.0,PIN OIL,BOLD,214.7308,215.6308,0.9,11700.0,2791500.0,2803200.0
2026-08-07,KCA 340H,PMS,37000.0,VITALAC INTERNATIONAL  LIMITED,DARRUSALAAM,203.0,203.5,0.5,18500.0,7511000.0,7529500.0
2026-08-07,KCC 166U,PMS,10000.0,PIN OIL,LANDMARK,199.5,201.5,2.0,20000.0,1995000.0,2015000.0
2026-08-07,KCF 657F,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,WAFI,203.0,203.5,0.5,5000.0,2030000.0,2035000.0
2026-08-07,KCL 098L,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,203.0,203.3,0.3,3000.0,2030000.0,2033000.0
2026-08-07,KDD 231R,AGO,10000.0,OLA ENERGIES KENYA LTD,MAQBUL,197.0,199.0,2.0,20000.0,1970000.0,1990000.0
2026-08-07,KDE 775B,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,203.0,203.3,0.3,3000.0,2030000.0,2033000.0
2026-08-07,KDG 103L,AGO,5000.0,VITALAC INTERNATIONAL  LIMITED,TRANSGLIDE,199.5,201.5,2.0,10000.0,997500.0,1007500.0
2026-08-07,KDM 130W,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,203.0,203.3,0.3,3000.0,2030000.0,2033000.0
2026-08-07,KDU 024V,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,MALUINI,199.5,201.0,1.5,15000.0,1995000.0,2010000.0
2026-08-10,KAR 032Y,AGO,4000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,502.5,503.75,1.25,5000.0,2010000.0,2015000.0
2026-08-10,KAR 032Y,PMS,6000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,335.0,335.8333,0.8333,5000.0,2010000.0,2015000.0
2026-08-10,KAV 369B,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,MARZIQ,199.5,201.5,2.0,20000.0,1995000.0,2015000.0
2026-08-10,KBB 038G,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,PETROL KIM,199.5,201.3,1.8,18000.0,1995000.0,2013000.0
2026-08-10,KBF 471U,PMS,18000.0,VITALAC INTERNATIONAL  LIMITED,WBP INVEST.,202.0,203.0,1.0,18000.0,3636000.0,3654000.0
2026-08-10,KBG 498R,AGO,10000.0,OLA ENERGIES KENYA LTD,BOLD,197.0,198.3,1.3,13000.0,1970000.0,1983000.0
2026-08-10,KBS 311L,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,PETROL KIM,203.0,204.3,1.3,13000.0,2030000.0,2043000.0
2026-08-10,KBZ 743G,AGO,3000.0,VITALAC INTERNATIONAL  LIMITED,KUSOW,670.8333,675.1667,4.3333,13000.0,2012500.0,2025500.0
2026-08-10,KBZ 743G,PMS,7000.0,VITALAC INTERNATIONAL  LIMITED,KUSOW,287.5,289.3571,1.8571,13000.0,2012500.0,2025500.0
2026-08-10,KBZ 984F,PMS,17000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,202.0,202.3,0.3,5100.0,3434000.0,3439100.0
2026-08-10,KCB 934M,AGO,4000.0,VITALAC INTERNATIONAL  LIMITED,MAOW,603.5,607.9,4.4,17600.0,2414000.0,2431600.0
2026-08-10,KCB 934M,PMS,8000.0,VITALAC INTERNATIONAL  LIMITED,MAOW,301.75,303.95,2.2,17600.0,2414000.0,2431600.0
2026-08-10,KCC 166U,AGO,10000.0,OIL HUB ENERGY LIIMITED,ELYAAS,199.0,202.0,3.0,30000.0,1990000.0,2020000.0
2026-08-10,KCG 292V,AGO,10000.0,OIL HUB ENERGY LIIMITED,BOLD,203.0,204.3,1.3,13000.0,2030000.0,2043000.0
2026-08-10,KCL 098L,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,202.0,202.3,0.3,3000.0,2020000.0,2023000.0
2026-08-10,KCR 924W,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,PETROL KIM,203.0,204.3,1.3,13000.0,2030000.0,2043000.0
2026-08-10,KDC 920Y,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,202.0,202.3,0.3,3000.0,2020000.0,2023000.0
2026-08-10,KDD 231R,AGO,2000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,1007.5,1009.5,2.0,4000.0,2015000.0,2019000.0
2026-08-10,KDD 231R,PMS,8000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,251.875,252.375,0.5,4000.0,2015000.0,2019000.0
2026-08-10,KDY 835M,AGO,16000.0,OIL HUB ENERGY LIIMITED,BOLD,203.0,204.3,1.3,20800.0,3248000.0,3268800.0
