id,date,name,state,truck,customer,grade,supplier,qty,buy,sell,margin,invoices
753,2026-08-04,DEAL/2026/0753,loaded,KCF 657F,WAFI,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1990000.00,10000.00,INV/2026/00704
754,2026-08-04,DEAL/2026/0754,loaded,KBX 293X,ZAYNU,AGO,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1983000.00,3000.00,INV/2026/00705
755,2026-08-04,DEAL/2026/0755,loaded,KCA 972M,ZAYNU,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1988000.00,8000.00,INV/2026/00706
756,2026-08-05,DEAL/2026/0756,loaded,KAV 369B,HK VENTURES LTD,PMS,VITALAC INTERNATIONAL  LIMITED,3000,594000.00,604500.00,10500.00,INV/2026/00709
757,2026-08-05,DEAL/2026/0757,loaded,KAV 369B,KHADIJA ABDULKARIM,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,5000,990000.00,1017500.00,27500.00,INV/2026/00710
758,2026-08-05,DEAL/2026/0758,loaded,KAV 369B,SHAMEEL,AGO,VITALAC INTERNATIONAL  LIMITED,2000,396000.00,409000.00,13000.00,INV/2026/00711
759,2026-08-05,DEAL/2026/0759,loaded,KDC 920Y,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2003000.00,23000.00,INV/2026/00712
760,2026-08-05,DEAL/2026/0760,loaded,KDT 943V,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2003000.00,23000.00,INV/2026/00713
761,2026-08-05,DEAL/2026/0761,loaded,KBY 554Z,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2003000.00,-24000.00,INV/2026/00714
762,2026-08-05,DEAL/2026/0762,loaded,KBG 498R,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2003000.00,3000.00,INV/2026/00715
763,2026-08-05,DEAL/2026/0763,loaded,KBL 473S,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2003000.00,3000.00,INV/2026/00716
764,2026-08-05,DEAL/2026/0764,loaded,KCL 098L,BOLD,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2003000.00,3000.00,INV/2026/00717
765,2026-08-05,DEAL/2026/0765,loaded,KDB 911B,BOLD,AGO,VITALAC INTERNATIONAL  LIMITED,10000,2045000.00,2053000.00,8000.00,INV/2026/00718
766,2026-08-05,DEAL/2026/0766,loaded,KBZ 872N,BOLD,AGO,VITALAC INTERNATIONAL  LIMITED,10000,2045000.00,2053000.00,8000.00,INV/2026/00719
767,2026-08-05,DEAL/2026/0767,loaded,KCG 292V,BOLD,AGO,KENGAS KENYA LIMITED,10000,2030000.00,2033000.00,3000.00,INV/2026/00720
768,2026-08-05,DEAL/2026/0768,loaded,KBZ 743G,KUSOW,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2010000.00,10000.00,INV/2026/00721
769,2026-08-05,DEAL/2026/0769,loaded,KCC 166U,LANDMARK,AGO,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2025000.00,25000.00,INV/2026/00722
770,2026-08-05,DEAL/2026/0770,loaded,KDU 024V,MALUINI VENTURES,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2010000.00,30000.00,INV/2026/00723
771,2026-08-05,DEAL/2026/0771,loaded,KAX 628E,TRANSGLIDE,AGO,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2023000.00,23000.00,INV/2026/00724
772,2026-08-05,DEAL/2026/0772,loaded,KDL 369T,REEM VENTURES,PMS,VITALAC INTERNATIONAL  LIMITED,6000,1200000.00,1233000.00,33000.00,INV/2026/00725
773,2026-08-05,DEAL/2026/0773,loaded,KAV 369B,ARABIYAH,PMS,VITALAC INTERNATIONAL  LIMITED,4000,800000.00,812000.00,12000.00,INV/2026/00726
774,2026-08-05,DEAL/2026/0774,loaded,KAV 369B,HOKOLA,PMS,VITALAC INTERNATIONAL  LIMITED,6000,1200000.00,1224000.00,24000.00,INV/2026/00727
775,2026-08-05,DEAL/2026/0775,loaded,KCR 924W,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2023000.00,23000.00,INV/2026/00728
776,2026-08-06,DEAL/2026/0776,loaded,KBE 245Y,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2003000.00,3000.00,INV/2026/00729
777,2026-08-06,DEAL/2026/0777,loaded,KCA 072Q,DIMKA,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,1990000.00,-10000.00,INV/2026/00730
778,2026-08-06,DEAL/2026/0778,loaded,KBS 311L,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2023000.00,23000.00,INV/2026/00731
779,2026-08-06,DEAL/2026/0779,loaded,KBB 038G,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2023000.00,23000.00,INV/2026/00732
780,2026-08-06,DEAL/2026/0780,loaded,KDG 103L,REEM VENTURES,PMS,VITALAC INTERNATIONAL  LIMITED,3000,600000.00,612000.00,12000.00,INV/2026/00733
781,2026-08-06,DEAL/2026/0781,loaded,KDG 103L,SAKATII,PMS,VITALAC INTERNATIONAL  LIMITED,4000,800000.00,818000.00,18000.00,INV/2026/00735
782,2026-08-06,DEAL/2026/0782,loaded,KDG 103L,SHAMEEL,PMS,VITALAC INTERNATIONAL  LIMITED,3000,600000.00,613500.00,13500.00,INV/2026/00734
783,2026-08-07,DEAL/2026/0783,loaded,KAV 369B,ARABIYAH,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2023000.00,23000.00,INV/2026/00736
